wl_nm,r,g,b
593,0.0098000,0.0045043,0.0000097
594,0.0098494,0.0043144,0.0000096
595,0.0098891,0.0041283,0.0000094
596,0.0099180,0.0039465,0.0000091
597,0.0099368,0.0037690,0.0000087
598,0.0099462,0.0035956,0.0000083
599,0.0099472,0.0034261,0.0000079
600,0.0099405,0.0032602,0.0000075
601,0.0099268,0.0030979,0.0000071
602,0.0099054,0.0029397,0.0000068
603,0.0098752,0.0027858,0.0000064
604,0.0098355,0.0026369,0.0000060
605,0.0097852,0.0024933,0.0000056
606,0.0097238,0.0023553,0.0000051
607,0.0096519,0.0022229,0.0000046
608,0.0095705,0.0020958,0.0000041
609,0.0094805,0.0019739,0.0000036
610,0.0093828,0.0018572,0.0000032
611,0.0092776,0.0017455,0.0000029
612,0.0091650,0.0016389,0.0000026
613,0.0090448,0.0015372,0.0000025
614,0.0089172,0.0014404,0.0000024
615,0.0087819,0.0013484,0.0000022
616,0.0086396,0.0012610,0.0000021
617,0.0084904,0.0011783,0.0000021
618,0.0083337,0.0010998,0.0000020
619,0.0081692,0.0010253,0.0000019
620,0.0079963,0.0009547,0.0000018
621,0.0078151,0.0008876,0.0000016
622,0.0076266,0.0008241,0.0000015
623,0.0074323,0.0007641,0.0000013
624,0.0072336,0.0007075,0.0000011
625,0.0070319,0.0006544,0.0000009
626,0.0068278,0.0006045,0.0000008
627,0.0066219,0.0005578,0.0000007
628,0.0064162,0.0005141,0.0000006
629,0.0062122,0.0004733,0.0000005
630,0.0060119,0.0004351,0.0000005
631,0.0058164,0.0003996,0.0000004
632,0.0056255,0.0003666,0.0000004
633,0.0054382,0.0003359,0.0000003
634,0.0052538,0.0003074,0.0000003
635,0.0050713,0.0002809,0.0000003
636,0.0048907,0.0002562,0.0000003
637,0.0047124,0.0002334,0.0000002
638,0.0045364,0.0002123,0.0000002
639,0.0043628,0.0001928,0.0000002
640,0.0041916,0.0001747,0.0000002
641,0.0040228,0.0001581,0.0000002
642,0.0038566,0.0001428,0.0000002
643,0.0036932,0.0001287,0.0000001
644,0.0035331,0.0001159,0.0000001
645,0.0033765,0.0001043,0.0000001
646,0.0032236,0.0000938,0.0000001
647,0.0030744,0.0000843,0.0000001
648,0.0029294,0.0000757,0.0000000
649,0.0027888,0.0000680,0.0000000
650,0.0026531,0.0000610,0.0000000
651,0.0025225,0.0000546,0.0000000
652,0.0023969,0.0000488,0.0000000
653,0.0022759,0.0000436,0.0000000
654,0.0021592,0.0000389,0.0000000
655,0.0020467,0.0000346,0.0000000
656,0.0019381,0.0000308,0.0000000
657,0.0018335,0.0000274,0.0000000
658,0.0017329,0.0000243,0.0000000
659,0.0016362,0.0000216,0.0000000
660,0.0015432,0.0000192,0.0000000
661,0.0014540,0.0000170,0.0000000
662,0.0013685,0.0000152,0.0000000
663,0.0012867,0.0000135,0.0000000
664,0.0012086,0.0000121,0.0000000
665,0.0011342,0.0000107,0.0000000
666,0.0010635,0.0000095,0.0000000
667,0.0009963,0.0000084,0.0000000
668,0.0009329,0.0000075,0.0000000
669,0.0008734,0.0000066,0.0000000
670,0.0008179,0.0000058,0.0000000
671,0.0007665,0.0000051,0.0000000
672,0.0007188,0.0000045,0.0000000
673,0.0006745,0.0000040,0.0000000
674,0.0006334,0.0000035,0.0000000
675,0.0005952,0.0000031,0.0000000
676,0.0005597,0.0000027,0.0000000
677,0.0005267,0.0000023,0.0000000
678,0.0004957,0.0000020,0.0000000
679,0.0004662,0.0000017,0.0000000
680,0.0004377,0.0000015,0.0000000
681,0.0004097,0.0000012,0.0000000
682,0.0003825,0.0000010,0.0000000
683,0.0003563,0.0000008,0.0000000
684,0.0003313,0.0000007,0.0000000
685,0.0003079,0.0000005,0.0000000
686,0.0002860,0.0000004,0.0000000
687,0.0002656,0.0000003,0.0000000
688,0.0002465,0.0000003,0.0000000
689,0.0002288,0.0000002,0.0000000
690,0.0002124,0.0000002,0.0000000
691,0.0001973,0.0000001,0.0000000
692,0.0001834,0.0000001,0.0000000
693,0.0001707,0.0000001,0.0000000
694,0.0001590,0.0000001,0.0000000
695,0.0001482,0.0000000,0.0000000
696,0.0001384,0.0000000,0.0000000
697,0.0001294,0.0000000,0.0000000
698,0.0001212,0.0000000,0.0000000
699,0.0001135,0.0000000,0.0000000
700,0.0001063,0.0000000,0.0000000
701,0.0000995,0.0000000,0.0000000
702,0.0000930,0.0000000,0.0000000
703,0.0000869,0.0000000,0.0000000
704,0.0000812,0.0000000,0.0000000
705,0.0000759,0.0000000,0.0000000
706,0.0000710,0.0000000,0.0000000
707,0.0000663,0.0000000,0.0000000
708,0.0000620,0.0000000,0.0000000
709,0.0000580,0.0000000,0.0000000
710,0.0000542,0.0000000,0.0000000
711,0.0000506,0.0000000,0.0000000
712,0.0000473,0.0000000,0.0000000
713,0.0000441,0.0000000,0.0000000
714,0.0000412,0.0000000,0.0000000
715,0.0000385,0.0000000,0.0000000
716,0.0000359,0.0000000,0.0000000
717,0.0000335,0.0000000,0.0000000
718,0.0000312,0.0000000,0.0000000
719,0.0000291,0.0000000,0.0000000
720,0.0000271,0.0000000,0.0000000
721,0.0000253,0.0000000,0.0000000
722,0.0000236,0.0000000,0.0000000
723,0.0000220,0.0000000,0.0000000
724,0.0000206,0.0000000,0.0000000
725,0.0000192,0.0000000,0.0000000
726,0.0000179,0.0000000,0.0000000
727,0.0000167,0.0000000,0.0000000
728,0.0000155,0.0000000,0.0000000
729,0.0000145,0.0000000,0.0000000
730,0.0000135,0.0000000,0.0000000
731,0.0000125,0.0000000,0.0000000
732,0.0000117,0.0000000,0.0000000
733,0.0000108,0.0000000,0.0000000
734,0.0000101,0.0000000,0.0000000
735,0.0000094,0.0000000,0.0000000
736,0.0000087,0.0000000,0.0000000
737,0.0000081,0.0000000,0.0000000
738,0.0000075,0.0000000,0.0000000
739,0.0000070,0.0000000,0.0000000
740,0.0000065,0.0000000,0.0000000
741,0.0000060,0.0000000,0.0000000
742,0.0000056,0.0000000,0.0000000
743,0.0000052,0.0000000,0.0000000
744,0.0000048,0.0000000,0.0000000
745,0.0000045,0.0000000,0.0000000
746,0.0000041,0.0000000,0.0000000
747,0.0000039,0.0000000,0.0000000
748,0.0000036,0.0000000,0.0000000
749,0.0000033,0.0000000,0.0000000
750,0.0000031,0.0000000,0.0000000
751,0.0000029,0.0000000,0.0000000
752,0.0000027,0.0000000,0.0000000
753,0.0000025,0.0000000,0.0000000
754,0.0000024,0.0000000,0.0000000
755,0.0000022,0.0000000,0.0000000
756,0.0000021,0.0000000,0.0000000
757,0.0000019,0.0000000,0.0000000
758,0.0000018,0.0000000,0.0000000
759,0.0000017,0.0000000,0.0000000
760,0.0000016,0.0000000,0.0000000
761,0.0000015,0.0000000,0.0000000
762,0.0000014,0.0000000,0.0000000
763,0.0000013,0.0000000,0.0000000
764,0.0000012,0.0000000,0.0000000
765,0.0000011,0.0000000,0.0000000
766,0.0000010,0.0000000,0.0000000
767,0.0000010,0.0000000,0.0000000
768,0.0000009,0.0000000,0.0000000
769,0.0000008,0.0000000,0.0000000
770,0.0000008,0.0000000,0.0000000
771,0.0000007,0.0000000,0.0000000
772,0.0000007,0.0000000,0.0000000
773,0.0000006,0.0000000,0.0000000
774,0.0000006,0.0000000,0.0000000
775,0.0000005,0.0000000,0.0000000
776,0.0000005,0.0000000,0.0000000
777,0.0000005,0.0000000,0.0000000
778,0.0000004,0.0000000,0.0000000
779,0.0000004,0.0000000,0.0000000
780,0.0000004,0.0000000,0.0000000
781,0.0000004,0.0000000,0.0000000
782,0.0000003,0.0000000,0.0000000
783,0.0000003,0.0000000,0.0000000
784,0.0000003,0.0000000,0.0000000
785,0.0000003,0.0000000,0.0000000
786,0.0000003,0.0000000,0.0000000
787,0.0000002,0.0000000,0.0000000
788,0.0000002,0.0000000,0.0000000
789,0.0000002,0.0000000,0.0000000
790,0.0000002,0.0000000,0.0000000
791,0.0000002,0.0000000,0.0000000
792,0.0000002,0.0000000,0.0000000
793,0.0000002,0.0000000,0.0000000
794,0.0000001,0.0000000,0.0000000
795,0.0000001,0.0000000,0.0000000
796,0.0000001,0.0000000,0.0000000
797,0.0000001,0.0000000,0.0000000
798,0.0000001,0.0000000,0.0000000
799,0.0000001,0.0000000,0.0000000
800,0.0000001,0.0000000,0.0000000
801,0.0000001,0.0000000,0.0000000
802,0.0000001,0.0000000,0.0000000
803,0.0000001,0.0000000,0.0000000
804,0.0000001,0.0000000,0.0000000
805,0.0000001,0.0000000,0.0000000
806,0.0000001,0.0000000,0.0000000
807,0.0000001,0.0000000,0.0000000
808,0.0000001,0.0000000,0.0000000
809,0.0000001,0.0000000,0.0000000
810,0.0000000,0.0000000,0.0000000
811,0.0000000,0.0000000,0.0000000
812,0.0000000,0.0000000,0.0000000
813,0.0000000,0.0000000,0.0000000
814,0.0000000,0.0000000,0.0000000
815,0.0000000,0.0000000,0.0000000
816,0.0000000,0.0000000,0.0000000
817,0.0000000,0.0000000,0.0000000
818,0.0000000,0.0000000,0.0000000
819,0.0000000,0.0000000,0.0000000
820,0.0000000,0.0000000,0.0000000
821,0.0000000,0.0000000,0.0000000
822,0.0000000,0.0000000,0.0000000
823,0.0000000,0.0000000,0.0000000
824,0.0000000,0.0000000,0.0000000
825,0.0000000,0.0000000,0.0000000
826,0.0000000,0.0000000,0.0000000
827,0.0000000,0.0000000,0.0000000
828,0.0000000,0.0000000,0.0000000
829,0.0000000,0.0000000,0.0000000
830,0.0000000,0.0000000,0.0000000
